# device_name, Phase (0 Locked 1 Awake 2 Active), intra-burst interval (value:probability/value:probability/... ), inter-burst interval (value:probability/value:probability/... ), state dwell time (value:probability/... ), jitter (value:probability/... )
x60,2,0.06:0.84,2.84:0.86/2.46:0.15,5:0.08/10:0.27/20:0.07/30:0.12/45:0.16/60:0.3,0.01:0.21/0.05:0.28/0.1:0.25/0.2:0.25
redmi note9pro,0,0.05:0.96/0.09:0.51,2.43:0.54,5:0.26/10:0.1/20:0.16/30:0.28/45:0.05/60:0.16,0.01:0.22/0.05:0.35/0.1:0.29/0.2:0.14
redmi note9pro,1,0.03:0.84/0.07:0.34,2.7:0.62/4.2:0.75/2.4:0.8,5:0.25/10:0.17/20:0.12/30:0.21/45:0.12/60:0.13,0.01:0.19/0.05:0.27/0.1:0.42/0.2:0.11
redmi note9pro,2,0.07:0.19,3.09:0.95,5:0.28/10:0.15/20:0.24/30:0.06/45:0.21/60:0.06,0.01:0.15/0.05:0.38/0.1:0.15/0.2:0.32
iQOO 10pro,0,0.09:0.52/0.06:0.49,4.42:0.35/3.8:0.16,5:0.19/10:0.04/20:0.28/30:0.12/45:0.1/60:0.27,0.01:0.11/0.05:0.15/0.1:0.3/0.2:0.44
iQOO 10pro,1,0.09:0.27/0.05:0.44/0.03:0.85,2.99:0.97/3.68:0.83,5:0.07/10:0.21/20:0.06/30:0.27/45:0.27/60:0.12,0.01:0.38/0.05:0.08/0.1:0.33/0.2:0.21
iQOO 10pro,2,0.05:0.17/0.04:0.81/0.1:0.38,2.63:0.76,5:0.04/10:0.14/20:0.27/30:0.28/45:0.14/60:0.13,0.01:0.28/0.05:0.07/0.1:0.32/0.2:0.32
x60u,0,0.02:0.75/0.05:0.18,4.94:0.98/2.49:0.83,5:0.07/10:0.2/20:0.24/30:0.16/45:0.24/60:0.08,0.01:0.14/0.05:0.25/0.1:0.38/0.2:0.23
x60u,1,0.03:0.78/0.04:0.61,4.91:0.9,5:0.2/10:0.06/20:0.04/30:0.18/45:0.39/60:0.12,0.01:0.27/0.05:0.17/0.1:0.16/0.2:0.4
x60u,2,0.09:0.8/0.06:0.4/0.05:0.44,4.28:0.48/2.34:0.27/2.33:0.35,5:0.17/10:0.1/20:0.18/30:0.31/45:0.09/60:0.15,0.01:0.3/0.05:0.32/0.1:0.13/0.2:0.25
mate20x,0,0.1:0.11/0.05:0.39,4.49:0.18/3.41:0.33/4.03:0.31,5:0.13/10:0.24/20:0.2/30:0.15/45:0.17/60:0.12,0.01:0.18/0.05:0.11/0.1:0.38/0.2:0.33
mate20x,1,0.09:0.62/0.09:0.85/0.07:0.31,4.9:0.65/4.98:0.93,5:0.09/10:0.05/20:0.28/30:0.12/45:0.31/60:0.14,0.01:0.24/0.05:0.31/0.1:0.22/0.2:0.23
mate20x,2,0.08:0.28,3.19:0.46/3.5:0.98,5:0.15/10:0.25/20:0.08/30:0.2/45:0.11/60:0.21,0.01:0.34/0.05:0.21/0.1:0.22/0.2:0.24
think pad p53,0,0.06:0.11,3.57:0.72/3.78:0.69/4.18:0.54,5:0.31/10:0.03/20:0.2/30:0.12/45:0.22/60:0.12,0.01:0.09/0.05:0.62/0.1:0.08/0.2:0.21
think pad p53,1,0.06:0.16,4.47:0.85,5:0.19/10:0.13/20:0.35/30:0.11/45:0.1/60:0.13,0.01:0.1/0.05:0.47/0.1:0.17/0.2:0.26
think pad p53,2,0.02:0.67/0.06:0.19,4.61:0.91,5:0.17/10:0.11/20:0.2/30:0.1/45:0.24/60:0.17,0.01:0.34/0.05:0.25/0.1:0.28/0.2:0.13
galaxys21,0,0.1:0.97,3.36:0.33,5:0.31/10:0.27/20:0.1/30:0.08/45:0.04/60:0.2,0.01:0.26/0.05:0.33/0.1:0.14/0.2:0.28
galaxys21,1,0.05:0.6/0.09:0.72/0.02:0.9,3.32:0.56,5:0.2/10:0.08/20:0.11/30:0.11/45:0.26/60:0.24,0.01:0.16/0.05:0.16/0.1:0.25/0.2:0.42
galaxys21,2,0.08:0.94,2.01:0.9/4.03:0.61/4.53:0.69,5:0.25/10:0.28/20:0.07/30:0.04/45:0.19/60:0.17,0.01:0.15/0.05:0.38/0.1:0.07/0.2:0.41
gt neo2,0,0.07:0.56,4.79:0.79,5:0.16/10:0.21/20:0.13/30:0.26/45:0.13/60:0.1,0.01:0.4/0.05:0.12/0.1:0.08/0.2:0.4
gt neo2,1,0.08:0.57/0.03:0.62/0.1:0.37,4.8:0.14,5:0.16/10:0.17/20:0.18/30:0.16/45:0.21/60:0.11,0.01:0.24/0.05:0.33/0.1:0.13/0.2:0.3
gt neo2,2,0.07:0.72/0.1:0.48,3.63:0.34/3.49:0.57,5:0.06/10:0.13/20:0.27/30:0.17/45:0.23/60:0.14,0.01:0.26/0.05:0.27/0.1:0.21/0.2:0.26
p40lite,0,0.04:0.89/0.04:0.67/0.02:0.25,2.34:0.56/3.71:0.21,5:0.29/10:0.13/20:0.19/30:0.1/45:0.11/60:0.18,0.01:0.12/0.05:0.32/0.1:0.32/0.2:0.24
p40lite,1,0.05:0.11,3.58:0.14/3.03:0.6,5:0.25/10:0.14/20:0.12/30:0.22/45:0.23/60:0.05,0.01:0.24/0.05:0.28/0.1:0.15/0.2:0.32
p40lite,2,0.05:0.57/0.06:0.41/0.1:0.73,2.6:0.36/4.46:0.92/3.23:0.51,5:0.27/10:0.21/20:0.17/30:0.08/45:0.19/60:0.07,0.01:0.41/0.05:0.31/0.1:0.13/0.2:0.15
think pad p53,0,0.03:0.28,2.95:0.71/4.14:0.94/3.55:0.9,5:0.05/10:0.16/20:0.25/30:0.04/45:0.29/60:0.2,0.01:0.1/0.05:0.49/0.1:0.08/0.2:0.34
think pad p53,1,0.05:0.5/0.05:0.48/0.02:0.69,4.27:0.44,5:0.07/10:0.14/20:0.31/30:0.08/45:0.14/60:0.26,0.01:0.35/0.05:0.25/0.1:0.17/0.2:0.22
think pad p53,2,0.09:0.19,3.39:0.58/3.47:0.49/3.58:0.84,5:0.25/10:0.07/20:0.2/30:0.11/45:0.27/60:0.12,0.01:0.33/0.05:0.22/0.1:0.27/0.2:0.17
think pad t14sgen1,0,0.08:0.4/0.08:0.81,3.01:0.39/4.48:0.95,5:0.06/10:0.11/20:0.19/30:0.27/45:0.19/60:0.18,0.01:0.2/0.05:0.2/0.1:0.45/0.2:0.15
think pad t14sgen1,1,0.09:0.69/0.1:0.84,2.42:0.1/4.95:0.81/4.25:0.87,5:0.24/10:0.22/20:0.08/30:0.14/45:0.15/60:0.17,0.01:0.05/0.05:0.21/0.1:0.39/0.2:0.36
think pad t14sgen1,2,0.04:0.43,3.05:0.69/4.47:0.78/3.25:0.54,5:0.2/10:0.13/20:0.14/30:0.23/45:0.24/60:0.05,0.01:0.48/0.05:0.16/0.1:0.12/0.2:0.24
18,0,0.09:0.31/0.08:1.0/0.1:0.7,3.54:0.34/3.56:0.63,5:0.26/10:0.04/20:0.15/30:0.26/45:0.09/60:0.2,0.01:0.22/0.05:0.23/0.1:0.3/0.2:0.24
18,1,0.04:0.96,2.26:0.77/4.21:0.91/4.3:0.66,5:0.08/10:0.14/20:0.33/30:0.13/45:0.24/60:0.08,0.01:0.28/0.05:0.16/0.1:0.41/0.2:0.14
18,2,0.07:0.57/0.05:0.66/0.05:0.26,3.8:0.56,5:0.33/10:0.07/20:0.13/30:0.17/45:0.21/60:0.09,0.01:0.38/0.05:0.15/0.1:0.22/0.2:0.25
think pad t14sgen1,0,0.04:0.68/0.03:0.86,2.2:0.4/2.91:0.54,5:0.2/10:0.08/20:0.17/30:0.18/45:0.2/60:0.17,0.01:0.11/0.05:0.28/0.1:0.35/0.2:0.26
think pad t14sgen1,1,0.09:0.9/0.02:0.11,2.78:0.71/4.78:0.22/3.46:0.73,5:0.17/10:0.15/20:0.28/30:0.13/45:0.13/60:0.14,0.01:0.15/0.05:0.29/0.1:0.36/0.2:0.21
think pad t14sgen1,2,0.09:0.78,4.2:0.27,5:0.15/10:0.2/20:0.11/30:0.17/45:0.23/60:0.14,0.01:0.37/0.05:0.34/0.1:0.05/0.2:0.24
mate30pro,0,0.04:0.33/0.05:1.0/0.05:0.26,2.74:0.41,5:0.18/10:0.33/20:0.09/30:0.11/45:0.09/60:0.22,0.01:0.09/0.05:0.33/0.1:0.31/0.2:0.27
mate30pro,1,0.03:0.52/0.06:0.96,2.23:0.12/4.91:0.77/2.93:0.58,5:0.26/10:0.14/20:0.08/30:0.19/45:0.06/60:0.26,0.01:0.28/0.05:0.28/0.1:0.34/0.2:0.1
mate30pro,2,0.03:0.47/0.03:0.27/0.06:0.97,2.66:0.24,5:0.14/10:0.09/20:0.31/30:0.15/45:0.1/60:0.22,0.01:0.51/0.05:0.21/0.1:0.22/0.2:0.06
iQOO Neo5,0,0.07:0.31/0.05:0.21,2.75:0.85/4.77:0.24,5:0.28/10:0.1/20:0.1/30:0.24/45:0.11/60:0.17,0.01:0.3/0.05:0.31/0.1:0.16/0.2:0.23
iQOO Neo5,1,0.05:0.81/0.08:0.57/0.08:0.41,4.83:0.75/4.81:0.38/4.35:0.69,5:0.1/10:0.23/20:0.23/30:0.14/45:0.07/60:0.25,0.01:0.34/0.05:0.15/0.1:0.11/0.2:0.4
iQOO Neo5,2,0.09:0.51,4.61:0.19,5:0.04/10:0.27/20:0.16/30:0.23/45:0.09/60:0.21,0.01:0.2/0.05:0.21/0.1:0.18/0.2:0.41
one plus9rt,0,0.09:0.62,4.07:0.62,5:0.07/10:0.12/20:0.37/30:0.25/45:0.12/60:0.06,0.01:0.16/0.05:0.28/0.1:0.34/0.2:0.23
one plus9rt,1,0.08:0.26/0.07:0.18,3.98:0.22/3.75:0.35,5:0.34/10:0.08/20:0.1/30:0.05/45:0.37/60:0.05,0.01:0.21/0.05:0.35/0.1:0.36/0.2:0.09
one plus9rt,2,0.1:0.45/0.05:0.57/0.03:0.73,4.86:0.34/4.2:0.31/3.46:0.22,5:0.13/10:0.07/20:0.14/30:0.4/45:0.04/60:0.23,0.01:0.1/0.05:0.34/0.1:0.25/0.2:0.3
iQOO 7,0,0.02:0.32/0.05:0.45/0.06:0.76,2.45:0.93,5:0.07/10:0.06/20:0.24/30:0.09/45:0.37/60:0.17,0.01:0.16/0.05:0.39/0.1:0.21/0.2:0.25
iQOO 7,1,0.08:0.46/0.06:0.97/0.08:0.65,4.8:0.85,5:0.15/10:0.05/20:0.12/30:0.2/45:0.21/60:0.26,0.01:0.15/0.05:0.17/0.1:0.34/0.2:0.34
iQOO 7,2,0.08:0.55,4.2:0.96/2.59:0.11,5:0.16/10:0.06/20:0.13/30:0.11/45:0.25/60:0.29,0.01:0.21/0.05:0.56/0.1:0.15/0.2:0.08
honor93,0,0.06:0.5,4.14:0.44,5:0.06/10:0.16/20:0.21/30:0.28/45:0.06/60:0.23,0.01:0.17/0.05:0.49/0.1:0.21/0.2:0.13
honor93,1,0.05:0.48/0.07:0.77,4.14:0.52/4.34:0.47,5:0.15/10:0.07/20:0.13/30:0.08/45:0.34/60:0.22,0.01:0.07/0.05:0.27/0.1:0.4/0.2:0.26
honor93,2,0.06:0.9/0.06:0.8/0.03:0.56,2.42:0.48/2.96:0.59/3.66:0.74,5:0.27/10:0.23/20:0.2/30:0.03/45:0.21/60:0.05,0.01:0.28/0.05:0.14/0.1:0.4/0.2:0.18
18plus,0,0.08:0.26,2.03:0.59/4.0:0.82,5:0.15/10:0.22/20:0.29/30:0.06/45:0.19/60:0.1,0.01:0.09/0.05:0.22/0.1:0.33/0.2:0.36
18plus,1,0.07:0.85,4.15:0.41/4.12:0.16,5:0.26/10:0.26/20:0.11/30:0.23/45:0.07/60:0.07,0.01:0.2/0.05:0.26/0.1:0.28/0.2:0.26
18plus,2,0.05:0.43/0.09:0.2,4.69:0.14/4.86:0.7/4.5:0.55,5:0.13/10:0.26/20:0.07/30:0.1/45:0.24/60:0.19,0.01:0.26/0.05:0.31/0.1:0.11/0.2:0.31
honor98,0,0.06:0.59/0.07:0.83,3.14:0.13,5:0.21/10:0.2/20:0.09/30:0.23/45:0.15/60:0.12,0.01:0.22/0.05:0.29/0.1:0.32/0.2:0.16
honor98,1,0.06:0.58/0.03:0.47,2.44:0.36,5:0.05/10:0.24/20:0.11/30:0.1/45:0.3/60:0.19,0.01:0.13/0.05:0.3/0.1:0.26/0.2:0.3
honor98,2,0.09:0.86/0.05:0.53/0.07:0.43,4.16:0.64/2.79:0.23/2.34:0.24,5:0.05/10:0.35/20:0.11/30:0.27/45:0.04/60:0.18,0.01:0.1/0.05:0.3/0.1:0.34/0.2:0.26
galaxys9,0,0.08:0.39,4.57:1.0/2.8:0.49/2.43:0.97,5:0.06/10:0.22/20:0.17/30:0.24/45:0.23/60:0.07,0.01:0.3/0.05:0.3/0.1:0.35/0.2:0.05
galaxys9,1,0.03:0.73/0.08:0.91/0.04:0.2,2.75:0.92/4.04:0.24,5:0.12/10:0.3/20:0.23/30:0.18/45:0.09/60:0.07,0.01:0.32/0.05:0.29/0.1:0.06/0.2:0.34
galaxys9,2,0.03:0.54/0.02:0.2,4.46:0.46,5:0.31/10:0.08/20:0.22/30:0.09/45:0.21/60:0.1,0.01:0.37/0.05:0.15/0.1:0.4/0.2:0.08
honor95,0,0.03:0.68/0.03:0.54,4.85:0.82/2.94:0.16/3.31:0.47,5:0.13/10:0.08/20:0.36/30:0.06/45:0.07/60:0.31,0.01:0.14/0.05:0.37/0.1:0.35/0.2:0.14
honor95,1,0.09:0.26/0.09:0.95,3.49:0.39/4.12:0.41/3.74:0.6,5:0.2/10:0.21/20:0.09/30:0.07/45:0.16/60:0.27,0.01:0.34/0.05:0.13/0.1:0.32/0.2:0.2
honor95,2,0.08:0.5/0.05:0.47/0.08:0.88,2.55:0.51/3.3:0.76/3.37:0.76,5:0.22/10:0.12/20:0.04/30:0.08/45:0.26/60:0.28,0.01:0.38/0.05:0.06/0.1:0.39/0.2:0.17
18v,0,0.09:0.82/0.07:0.49/0.09:0.62,3.58:0.8/4.92:0.36/4.89:0.39,5:0.23/10:0.22/20:0.21/30:0.09/45:0.18/60:0.07,0.01:0.29/0.05:0.19/0.1:0.31/0.2:0.21
18v,1,0.1:0.17/0.05:0.9,2.18:0.17/4.72:0.99/3.38:0.31,5:0.2/10:0.17/20:0.14/30:0.21/45:0.18/60:0.1,0.01:0.12/0.05:0.16/0.1:0.53/0.2:0.18
18v,2,0.06:0.3/0.03:0.26/0.05:0.71,4.77:0.83/2.49:0.27,5:0.18/10:0.23/20:0.17/30:0.3/45:0.06/60:0.07,0.01:0.37/0.05:0.28/0.1:0.17/0.2:0.17
gt neo2t,0,0.07:0.11/0.05:0.84/0.07:0.67,3.59:0.96,5:0.15/10:0.25/20:0.08/30:0.25/45:0.1/60:0.17,0.01:0.43/0.05:0.08/0.1:0.28/0.2:0.21
gt neo2t,1,0.06:0.2/0.04:0.7,2.29:0.36/3.94:0.61/4.55:0.8,5:0.22/10:0.04/20:0.36/30:0.24/45:0.06/60:0.08,0.01:0.26/0.05:0.13/0.1:0.13/0.2:0.47
gt neo2t,2,0.04:0.27/0.04:0.58/0.1:0.4,2.61:0.66,5:0.28/10:0.1/20:0.11/30:0.08/45:0.34/60:0.09,0.01:0.15/0.05:0.38/0.1:0.14/0.2:0.32
redmi note10pro,0,0.09:0.47/0.05:0.91,2.42:0.57/4.26:0.89,5:0.19/10:0.15/20:0.22/30:0.23/45:0.09/60:0.12,0.01:0.17/0.05:0.34/0.1:0.19/0.2:0.3
redmi note10pro,1,0.06:0.41/0.06:0.17/0.02:0.32,4.35:0.43/4.01:0.64,5:0.27/10:0.07/20:0.27/30:0.07/45:0.12/60:0.19,0.01:0.32/0.05:0.25/0.1:0.22/0.2:0.21
redmi note10pro,2,0.03:0.97/0.03:0.88/0.07:0.28,4.8:0.4/2.28:0.7,5:0.26/10:0.2/20:0.1/30:0.18/45:0.17/60:0.1,0.01:0.19/0.05:0.32/0.1:0.32/0.2:0.16
mate20x,0,0.03:0.44,4.09:0.54/4.37:0.5/2.82:0.52,5:0.22/10:0.19/20:0.09/30:0.24/45:0.06/60:0.2,0.01:0.25/0.05:0.13/0.1:0.39/0.2:0.23
mate20x,1,0.05:0.59/0.06:0.32,2.26:0.37/3.05:0.88,5:0.1/10:0.21/20:0.1/30:0.2/45:0.2/60:0.18,0.01:0.17/0.05:0.19/0.1:0.29/0.2:0.34
mate20x,2,0.07:0.97/0.08:0.92/0.06:0.1,3.94:0.53,5:0.05/10:0.24/20:0.25/30:0.15/45:0.28/60:0.04,0.01:0.15/0.05:0.4/0.1:0.17/0.2:0.29
p40lite,0,0.06:0.73,2.37:0.17/3.13:0.93/4.09:0.4,5:0.29/10:0.09/20:0.1/30:0.16/45:0.18/60:0.18,0.01:0.22/0.05:0.35/0.1:0.29/0.2:0.13
p40lite,1,0.08:0.92/0.03:0.43,3.63:0.71/2.77:0.36,5:0.12/10:0.14/20:0.31/30:0.07/45:0.07/60:0.29,0.01:0.23/0.05:0.21/0.1:0.26/0.2:0.3
p40lite,2,0.05:0.53,2.68:0.2/4.87:0.45,5:0.08/10:0.15/20:0.28/30:0.18/45:0.14/60:0.18,0.01:0.08/0.05:0.33/0.1:0.17/0.2:0.41
iQOO U5,0,0.05:0.75/0.06:0.46/0.07:0.51,2.39:0.42/3.44:0.38/2.62:0.57,5:0.24/10:0.2/20:0.07/30:0.18/45:0.18/60:0.13,0.01:0.26/0.05:0.35/0.1:0.23/0.2:0.15
iQOO U5,1,0.06:0.27,2.93:0.36/4.09:0.61,5:0.2/10:0.07/20:0.09/30:0.31/45:0.07/60:0.26,0.01:0.23/0.05:0.4/0.1:0.18/0.2:0.19
iQOO U5,2,0.06:0.54/0.06:0.21/0.05:0.42,4.01:0.16/2.15:0.18/2.18:0.48,5:0.28/10:0.13/20:0.11/30:0.17/45:0.19/60:0.13,0.01:0.06/0.05:0.39/0.1:0.43/0.2:0.12
x70pro+,0,0.08:0.63/0.1:0.6,3.78:0.16/4.47:0.89,5:0.14/10:0.2/20:0.07/30:0.23/45:0.15/60:0.21,0.01:0.33/0.05:0.31/0.1:0.04/0.2:0.32
x70pro+,1,0.05:0.41,4.61:0.99/4.97:0.63,5:0.05/10:0.25/20:0.11/30:0.1/45:0.12/60:0.38,0.01:0.16/0.05:0.29/0.1:0.27/0.2:0.28
x70pro+,2,0.06:0.11,2.13:0.76/4.81:0.74/4.93:0.43,5:0.08/10:0.04/20:0.12/30:0.28/45:0.21/60:0.27,0.01:0.14/0.05:0.52/0.1:0.17/0.2:0.17
honor95,0,0.1:0.6,3.11:0.9/3.11:0.11/3.93:0.28,5:0.09/10:0.08/20:0.14/30:0.12/45:0.24/60:0.33,0.01:0.2/0.05:0.19/0.1:0.34/0.2:0.27
honor95,1,0.08:0.59/0.03:0.8,3.42:1.0/4.99:0.73,5:0.15/10:0.19/20:0.24/30:0.22/45:0.12/60:0.08,0.01:0.35/0.05:0.36/0.1:0.15/0.2:0.14
honor95,2,0.07:0.81,4.72:0.12/4.82:0.1/2.81:0.25,5:0.12/10:0.21/20:0.18/30:0.23/45:0.22/60:0.03,0.01:0.27/0.05:0.37/0.1:0.25/0.2:0.11
x80,0,0.08:0.4/0.1:0.71,2.99:0.36/2.84:0.91,5:0.25/10:0.16/20:0.26/30:0.04/45:0.16/60:0.13,0.01:0.22/0.05:0.34/0.1:0.32/0.2:0.13
x80,1,0.02:0.74/0.03:0.87/0.1:0.78,3.32:0.77/3.26:0.71/2.81:0.76,5:0.19/10:0.09/20:0.16/30:0.23/45:0.1/60:0.23,0.01:0.2/0.05:0.36/0.1:0.36/0.2:0.07
x80,2,0.06:0.26/0.08:0.53,3.72:0.51,5:0.32/10:0.37/20:0.07/30:0.09/45:0.07/60:0.09,0.01:0.11/0.05:0.31/0.1:0.46/0.2:0.13
mi8lite,0,0.08:1.0/0.04:0.18,4.92:0.5,5:0.04/10:0.28/20:0.23/30:0.07/45:0.12/60:0.25,0.01:0.2/0.05:0.17/0.1:0.41/0.2:0.22
mi8lite,1,0.07:0.52/0.02:0.64,2.89:0.1/2.14:0.34,5:0.26/10:0.28/20:0.04/30:0.15/45:0.25/60:0.03,0.01:0.19/0.05:0.28/0.1:0.08/0.2:0.45
mi8lite,2,0.05:0.96/0.07:0.31/0.09:0.46,2.04:0.85,5:0.2/10:0.18/20:0.24/30:0.17/45:0.15/60:0.06,0.01:0.14/0.05:0.25/0.1:0.39/0.2:0.23
Realme q3i,0,0.02:0.64,3.29:0.73/4.09:0.55,5:0.06/10:0.09/20:0.24/30:0.32/45:0.04/60:0.26,0.01:0.26/0.05:0.26/0.1:0.23/0.2:0.24
Realme q3i,1,0.03:0.23/0.05:0.97/0.08:0.66,3.44:0.81,5:0.05/10:0.09/20:0.18/30:0.28/45:0.08/60:0.33,0.01:0.57/0.05:0.12/0.1:0.15/0.2:0.16
Realme q3i,2,0.03:0.63/0.07:0.2/0.07:0.67,3.94:0.31,5:0.07/10:0.13/20:0.19/30:0.25/45:0.09/60:0.26,0.01:0.31/0.05:0.49/0.1:0.08/0.2:0.11
18plus,0,0.08:0.77/0.04:0.87,4.88:0.48/4.72:0.33,5:0.05/10:0.11/20:0.19/30:0.36/45:0.14/60:0.15,0.01:0.32/0.05:0.25/0.1:0.35/0.2:0.08
18plus,1,0.07:0.46/0.1:0.36/0.02:0.27,2.75:0.45,5:0.12/10:0.16/20:0.24/30:0.07/45:0.24/60:0.16,0.01:0.33/0.05:0.14/0.1:0.21/0.2:0.33
18plus,2,0.03:0.83,4.82:0.41,5:0.25/10:0.17/20:0.13/30:0.14/45:0.15/60:0.16,0.01:0.36/0.05:0.18/0.1:0.32/0.2:0.14
oppo a1pro,0,0.05:0.35/0.07:0.7,2.55:0.27/3.32:0.82/3.11:0.5,5:0.08/10:0.09/20:0.24/30:0.25/45:0.1/60:0.24,0.01:0.2/0.05:0.38/0.1:0.34/0.2:0.08
oppo a1pro,1,0.09:0.45/0.09:0.97,4.63:0.42,5:0.19/10:0.09/20:0.2/30:0.04/45:0.28/60:0.19,0.01:0.41/0.05:0.28/0.1:0.13/0.2:0.17
oppo a1pro,2,0.07:0.75/0.06:0.3,3.52:0.69/3.71:0.96,5:0.24/10:0.15/20:0.09/30:0.25/45:0.05/60:0.22,0.01:0.11/0.05:0.19/0.1:0.27/0.2:0.42
red magic7mini,0,0.09:0.86/0.09:0.63/0.09:0.59,2.97:0.77/2.27:0.47,5:0.07/10:0.26/20:0.24/30:0.1/45:0.18/60:0.16,0.01:0.21/0.05:0.3/0.1:0.15/0.2:0.35
red magic7mini,1,0.04:0.66/0.05:0.44/0.02:0.89,3.38:0.55/4.05:0.94,5:0.21/10:0.2/20:0.21/30:0.04/45:0.14/60:0.21,0.01:0.31/0.05:0.36/0.1:0.05/0.2:0.28
red magic7mini,2,0.08:0.41/0.03:0.57,4.83:0.16,5:0.21/10:0.2/20:0.16/30:0.13/45:0.12/60:0.19,0.01:0.26/0.05:0.3/0.1:0.22/0.2:0.22
mi10lite,0,0.04:0.27/0.08:0.27,2.04:0.86/2.88:0.15,5:0.24/10:0.18/20:0.15/30:0.21/45:0.03/60:0.19,0.01:0.12/0.05:0.2/0.1:0.38/0.2:0.31
mi10lite,1,0.03:0.16,2.51:0.12,5:0.27/10:0.12/20:0.17/30:0.19/45:0.07/60:0.18,0.01:0.42/0.05:0.25/0.1:0.16/0.2:0.17
mi10lite,2,0.09:0.42/0.03:0.71,2.41:0.27/3.63:0.32,5:0.11/10:0.07/20:0.27/30:0.23/45:0.2/60:0.1,0.01:0.21/0.05:0.19/0.1:0.35/0.2:0.26
galaxys9,0,0.05:0.34/0.06:0.3,2.01:0.96/4.3:0.81,5:0.09/10:0.24/20:0.09/30:0.16/45:0.25/60:0.19,0.01:0.34/0.05:0.24/0.1:0.23/0.2:0.18
galaxys9,1,0.09:0.84,3.51:0.72/3.39:0.28,5:0.06/10:0.23/20:0.16/30:0.17/45:0.08/60:0.3,0.01:0.25/0.05:0.3/0.1:0.26/0.2:0.19
galaxys9,2,0.09:0.62/0.06:0.86/0.08:0.27,4.76:0.69/3.83:0.28,5:0.17/10:0.27/20:0.33/30:0.1/45:0.09/60:0.04,0.01:0.4/0.05:0.13/0.1:0.1/0.2:0.37
gt neo2t,0,0.08:0.13/0.06:0.16/0.04:0.95,3.91:0.48,5:0.22/10:0.23/20:0.2/30:0.13/45:0.15/60:0.06,0.01:0.5/0.05:0.07/0.1:0.26/0.2:0.17
gt neo2t,1,0.04:0.62/0.04:0.17,3.54:0.59,5:0.1/10:0.35/20:0.2/30:0.09/45:0.1/60:0.16,0.01:0.2/0.05:0.33/0.1:0.14/0.2:0.32
gt neo2t,2,0.03:0.6/0.1:0.25/0.06:0.28,3.57:0.18,5:0.18/10:0.11/20:0.27/30:0.18/45:0.06/60:0.2,0.01:0.45/0.05:0.07/0.1:0.34/0.2:0.14
iQOO Neo6,0,0.02:0.95/0.03:0.31/0.08:0.35,4.72:0.43/4.73:0.61,5:0.3/10:0.1/20:0.28/30:0.14/45:0.04/60:0.13,0.01:0.13/0.05:0.42/0.1:0.28/0.2:0.16
iQOO Neo6,1,0.05:0.79,4.43:0.91/4.45:0.71,5:0.25/10:0.14/20:0.11/30:0.09/45:0.16/60:0.25,0.01:0.38/0.05:0.42/0.1:0.13/0.2:0.07
iQOO Neo6,2,0.08:0.62/0.06:0.67/0.04:0.36,3.93:0.98/2.95:0.92/2.32:0.55,5:0.06/10:0.24/20:0.25/30:0.18/45:0.11/60:0.17,0.01:0.24/0.05:0.33/0.1:0.18/0.2:0.25
galaxys21,0,0.03:0.11,3.32:0.76/5.0:0.72,5:0.21/10:0.15/20:0.09/30:0.12/45:0.23/60:0.2,0.01:0.34/0.05:0.25/0.1:0.24/0.2:0.17
galaxys21,1,0.03:0.63,3.74:0.22/3.83:0.84/3.3:0.76,5:0.1/10:0.09/20:0.13/30:0.28/45:0.17/60:0.24,0.01:0.4/0.05:0.07/0.1:0.29/0.2:0.24
galaxys21,2,0.04:0.17/0.09:0.35,2.15:0.75/4.25:0.96,5:0.18/10:0.21/20:0.16/30:0.18/45:0.16/60:0.1,0.01:0.4/0.05:0.06/0.1:0.3/0.2:0.23
think pad x1yoga,0,0.04:0.99/0.09:0.33/0.07:0.29,4.52:0.61/4.14:0.99,5:0.13/10:0.06/20:0.15/30:0.24/45:0.2/60:0.22,0.01:0.25/0.05:0.35/0.1:0.12/0.2:0.28
think pad x1yoga,1,0.05:0.46/0.04:0.59/0.06:0.28,4.53:0.51/2.36:0.25,5:0.15/10:0.33/20:0.05/30:0.12/45:0.3/60:0.05,0.01:0.2/0.05:0.33/0.1:0.3/0.2:0.17
think pad x1yoga,2,0.08:0.28,2.58:0.39/4.49:0.34/3.64:0.74,5:0.22/10:0.19/20:0.07/30:0.05/45:0.14/60:0.33,0.01:0.22/0.05:0.25/0.1:0.3/0.2:0.23
gt neo3,0,0.1:0.56/0.1:0.88/0.08:0.28,4.34:0.53/5.0:0.21,5:0.24/10:0.15/20:0.21/30:0.21/45:0.15/60:0.05,0.01:0.26/0.05:0.24/0.1:0.28/0.2:0.22
gt neo3,1,0.06:0.65/0.05:0.9/0.08:0.23,3.58:0.95/3.73:0.4/3.98:0.91,5:0.2/10:0.13/20:0.24/30:0.08/45:0.11/60:0.25,0.01:0.04/0.05:0.32/0.1:0.34/0.2:0.3
gt neo3,2,0.09:0.99/0.05:0.98/0.02:0.96,2.78:0.2/2.74:0.72,5:0.06/10:0.18/20:0.29/30:0.14/45:0.22/60:0.11,0.01:0.32/0.05:0.52/0.1:0.09/0.2:0.07
18,0,0.08:0.67/0.04:0.13/0.07:0.19,3.02:0.64,5:0.28/10:0.03/20:0.25/30:0.25/45:0.06/60:0.13,0.01:0.16/0.05:0.27/0.1:0.31/0.2:0.27
